,sigma_g t2,sigma_s t2
0,14.320437365426454,9.949164433234464e-12
1,6.768334101841257,4.550946061147283e-12
2,4.316497150459302,2.960271794298938e-12
3,3.119307080839727,2.0149648135383573e-12
4,2.411106143309517,9.830142858329535e-13
5,1.9477231219683735,1.0289337847194018e-13
6,1.6205556314062075,4.2638855691129104e-14
7,1.3767055493986302,1.1836085730485862e-14
8,1.1916242827238257,9.342425408888192e-15
9,1.0438807816940265,1.1948630961809982e-14
10,0.9244621973195482,7.065299139768935e-15
11,0.8265027035974115,2.2577181925858157e-15
12,0.7439668979559723,3.675078763366192e-15
13,0.6728855519715663,2.652010196018218e-15
14,0.6141450945150169,3.978178963465138e-15
15,0.56110332292644,3.634068112498335e-15
16,0.5167327635567028,2.174434037729535e-15
17,0.4757899530971495,3.73000509554457e-15
18,0.44081425144258957,1.9186030124847212e-15
19,0.4088250951429833,4.089300142315696e-15
20,0.38092032773373785,2.6204584277466652e-15
21,0.35506992612483806,3.850263742688297e-15
22,0.33237080591665213,2.8948395943018494e-15
23,0.3108096505685733,2.3505936368123172e-16
24,0.2923645230560465,1.3015810351708972e-15
25,0.27464328089092854,6.906844986701725e-16
26,0.2586727506936693,8.858246920846752e-17
27,0.2439876277677393,3.9462705993479345e-16
28,0.2306791491641068,1.9899351007232648e-16
29,0.21771417870267518,9.036041455920668e-18
30,0.20635017678705164,-5.407460553913341e-16
31,0.19559634581786936,-4.442947100022081e-16
32,0.1855964607246692,5.020387373181401e-09
33,0.17610383047174552,4.173667786328035e-16
34,0.16775607859973568,1.1185577860919247e-15
35,0.15929938173161562,9.908099676201564e-11
36,0.1518551759902836,9.5245796950941e-16
37,0.14457890901409587,2.456672176509025e-09
38,0.1381701898637078,5.710993434377531e-10
39,0.6265618981825524,0.19123810380212658
40,0.5052382120113138,0.2279077769853414
41,0.33243193163346213,0.21988963340321563
42,0.2194989510935818,0.2131397079102887
43,0.1450075399516212,0.20844617851899364
44,0.0961428505345233,0.2044739543677851
45,0.0639560921978905,0.20163749548158158
46,0.0425594724084798,0.19980182611309596
47,0.028435424229581036,0.19873797548630623
48,0.019016611002681663,0.19872297330148347
49,0.012766900713020831,0.05282770599037625
50,0.008642477539907519,0.0
51,0.0058658457264576785,0.0
52,0.003982233827158142,0.0
53,0.0027177317332065585,0.0
54,0.001856199832884356,0.0
55,0.0012696114799894125,0.0
56,0.0008693573791635918,0.0
57,0.0005985403556927047,0.0
58,0.0004110939527234711,0.0
59,0.0002832658474943753,0.0
60,0.00019555441163941767,0.0
61,0.00013501761233195418,0.0
62,9.344438693088308e-05,0.0
63,6.480025387879993e-05,0.0
64,4.4991917934802134e-05,0.0
65,3.1258437903479196e-05,0.0
66,2.1754954403062334e-05,0.0
67,1.5137931549764786e-05,0.0
68,1.0577408692852026e-05,0.0
69,7.3889150374683295e-06,0.0
70,5.1573907591128765e-06,0.0
71,3.6145515653314174e-06,0.0
72,2.5344333380028565e-06,0.0
73,1.7759471638244732e-06,0.0
74,1.2466621274035218e-06,0.0
75,8.768314280384148e-07,0.0
76,6.166797074209508e-07,0.0
77,4.3393224311996417e-07,0.0
78,3.061781564499828e-07,0.0
79,2.1592223471911056e-07,0.0
80,1.5228576315577018e-07,0.0
81,1.0770264341354995e-07,0.0
82,7.616102793952804e-08,0.0
83,5.3833759418516203e-08,0.0
84,3.8173777099787496e-08,0.0
85,2.7041482246523323e-08,0.0
86,1.9162285457329223e-08,0.0
87,1.3612311927522671e-08,0.0
88,9.657990926363057e-09,0.0
89,6.870103963715583e-09,0.0
90,4.884602160672714e-09,0.0
91,3.472067233558073e-09,0.0
92,2.4747239421219756e-09,0.0
93,1.7614785197941137e-09,0.0
94,1.257219332685102e-09,0.0
95,8.976737663369981e-10,0.0
96,1.1482984087053056e-09,0.0
97,1.0509456823871768e-07,0.0
98,0.0007133381137648658,0.0
