,sigma_g t1,sigma_s t1
0,14.687673478807556,2.869627013212065e-12
1,6.948743969351089,1.2947130405063257e-12
2,4.4339861624602355,3.2580228500637306e-13
3,3.196063498694714,1.877996909933225e-13
4,2.4759529180756865,1.310968400725303e-13
5,1.9948229485111766,5.270940460813314e-14
6,1.6624797627894543,3.937936914825606e-14
7,1.4105468584941798,2.964829316891539e-14
8,1.2206192087977907,1.639810006507853e-14
9,1.0681989453337366,1.0433992437422438e-14
10,0.9476620114180314,2.6191644957176935e-15
11,0.8448312519438866,9.807464342355126e-15
12,0.7610374552051352,4.593944248285205e-15
13,0.6885295086138954,1.8334231520685045e-15
14,0.6275856238635646,3.047800450429127e-15
15,0.5736199510193474,1.2852157513227898e-15
16,0.5275332285689587,2.348197492410256e-15
17,0.48598086617326514,2.4336301645034085e-15
18,0.4500692869816864,1.9774958679981663e-15
19,0.4172204498537111,9.235670897548578e-16
20,0.38895553234833213,1.5379150390745858e-15
21,0.36204713447766573,2.5903136622765664e-15
22,0.33875458724286983,6.938897142919581e-16
23,0.3169708425109371,1.918540542591489e-15
24,0.2977289530087543,1.2611992095568864e-15
25,0.2795792980658406,1.424633623404585e-15
26,0.2634746969588842,1.4132145994706088e-15
27,0.24816868573722672,9.064949136003678e-16
28,0.23453505201384678,3.033444612400517e-17
29,0.22149186877646737,3.5759285583723656e-16
30,0.20983987128945727,5.956233912818027e-16
31,0.1986276693323964,9.486094515133576e-16
32,0.18858479553790955,-2.9471938517578493e-16
33,0.17886983375799484,8.289975802877128e-17
34,0.17014884912367292,-8.564470580746426e-17
35,0.1616742099986943,3.480130676175114e-16
36,0.15405423217193917,3.6736170920224593e-16
37,0.14661657690430369,-2.2010768867345926e-16
38,0.13978165281113644,1.1351361054314815e-16
39,0.13335788873346915,-3.6353348044518673e-16
40,0.12744034887860697,9.091982580799649e-17
41,0.12162145529459081,-2.744070116171887e-16
42,0.11638446156590397,3.3332563103499934e-09
43,0.12460085896877734,0.02403961968585558
44,0.09618124977788114,0.059461627213514466
45,0.06389480002521622,0.07342467201358596
46,0.04259330357485008,0.08086080928591681
47,0.028409254762757154,0.0844766166735122
48,0.019027790078575694,0.08548138081073241
49,0.01275446938425829,0.0849533907101467
50,0.008560282346935698,0.0835795565392035
51,0.005768335774774279,0.08149951047743415
52,0.0038895464640793065,0.07916026560429669
53,0.0026258759037021567,0.0767360321452565
54,0.0017789308852925794,0.07417369031603663
55,0.0012057112991303934,0.07162372762800814
56,0.0008183395756280555,0.06919448572097461
57,0.0005566867843449004,0.06681020996473092
58,0.0003796167876972577,0.06442772373098368
59,0.00025890031224009294,0.06219161734287992
60,0.0001770123207558337,0.06000772328502879
61,0.00012109840033608224,0.0579690137143824
62,8.296441349887616e-05,0.05594328022900763
63,5.696075471749782e-05,0.054034894817952595
64,3.912369241985167e-05,0.05224167330441897
65,2.690948860376552e-05,0.05045980143437553
66,1.8542721725462833e-05,0.04878763362166511
67,1.278379677498504e-05,0.04713058323933695
68,8.827402002643886e-06,0.04563676215348418
69,6.103087963762974e-06,0.04412422413224845
70,4.22204485331086e-06,0.042688910532314564
71,2.921958383540944e-06,0.041336459914686687
72,2.029277926707557e-06,0.04002135918264621
73,1.4084060295217408e-06,0.03873947794362152
74,9.785970342995099e-07,0.037503440485799906
75,6.80770332685186e-07,0.036354185943418646
76,4.7381667613971417e-07,0.03523379415837163
77,3.3013806315471986e-07,0.034142690574589976
78,2.3032008542022893e-07,0.03310328775350518
79,1.6074410114736038e-07,0.03208738665942985
80,1.1229469111950477e-07,0.031119535847345413
81,7.85211306542764e-08,0.030192887357855133
82,5.494119474590319e-08,0.029263641994521184
83,3.8441673628262984e-08,0.02841474428148349
84,2.697933149236736e-08,0.02757919965348742
85,1.892048607725937e-08,0.026756975308802184
86,1.3275958250504198e-08,0.025983072118826233
87,9.330926834524553e-09,0.011928355599406663
88,6.5840727325693445e-09,0.0
89,4.651303542609722e-09,0.0
90,3.2884875641266196e-09,0.0
91,2.3261397307413274e-09,0.0
92,1.6466875972837776e-09,0.0
93,1.1668408529560051e-09,0.0
94,8.364067902429855e-10,0.0
95,4.567203733058352e-09,0.0
96,6.906423641030981e-07,0.0
97,5.713879989239405e-05,0.0
98,0.0025779311478939353,0.0
