,x t1,v t1
0,149600000000.0,-0.021469727861480704
1,157008904452.2261,-0.020440370683737687
2,164417808904.4522,-0.020458960043801825
3,171826713356.67834,-0.02047465168064369
4,179235617808.90445,-0.02048768200188532
5,186644522261.13055,-0.020498259313795463
6,194053426713.35666,-0.02050656812792244
7,201462331165.5828,-0.020512772670721054
8,208871235617.8089,-0.02051701976719562
9,216280140070.035,-0.02051944122818291
10,223689044522.26114,-0.020520155840592854
11,231097948974.48724,-0.020519271037455947
12,238506853426.71335,-0.020516884307778007
13,245915757878.93945,-0.020513084393484565
14,253324662331.1656,-0.020507952310983475
15,260733566783.3917,-0.020501562227356537
16,268142471235.6178,-0.020493982215381363
17,275551375687.84393,-0.02048527490698308
18,282960280140.07,-0.02047549806111282
19,290369184592.29614,-0.02046470505919644
20,297778089044.5223,-0.02045294533897428
21,305186993496.74835,-0.020440264775725588
22,312595897948.9745,-0.020426706018373347
23,320004802401.2006,-0.02041230878673556
24,327413706853.4267,-0.020397110135206
25,334822611305.65283,-0.020381144687322248
26,342231515757.87897,-0.020364444845006036
27,349640420210.1051,-0.020347040975687142
28,357049324662.3312,-0.020328961580072927
29,364458229114.55725,-0.02031023344291732
30,371867133566.7834,-0.020290881768818297
31,379276038019.0095,-0.020270930304801524
32,386684942471.2356,-0.0202504014512048
33,394093846923.46173,-0.02022931636217778
34,401502751375.68787,-0.020207695036950656
35,408911655827.91394,-0.020185556402871115
36,416320560280.14014,-0.020162918391080982
37,423729464732.3662,-0.020139798005614055
38,431138369184.5923,-0.02011621138658231
39,438547273636.8184,-0.02009217386805197
40,445956178089.04456,-0.020067700031139397
41,453365082541.2706,-0.02004280375278582
42,460773986993.49677,-0.020017498250638796
43,468182891445.72284,-0.019991796124400607
44,475591795897.94904,-0.019965709393969907
45,483000700350.1752,-0.01993924953468291
46,490409604802.40125,-0.01991242750990099
47,497818509254.6274,-0.01988525380119589
48,505227413706.85345,-0.019857738436327495
49,512636318159.07965,-0.019829891015219578
50,520045222611.3057,-0.01980172073409642
51,527454127063.5318,-0.019773236407925495
52,534863031515.75793,-0.019744446491332907
53,542271935967.9841,-0.019715359098087727
54,549680840420.21014,-0.01968598201928512
55,557089744872.4363,-0.019656322740330804
56,564498649324.6624,-0.01962638845681553
57,571907553776.8885,-0.01959618608937392
58,579316458229.1147,-0.019565722297592854
59,586725362681.3407,-0.0195350034930552
60,594134267133.5669,-0.019504035851573464
61,601543171585.793,-0.01947282532467398
62,608952076038.019,-0.01944137765038979
63,616360980490.2452,-0.019409698363409646
64,623769884942.4713,-0.019377792804632244
65,631178789394.6975,-0.019345666130155037
66,638587693846.9236,-0.01931332331975559
67,645996598299.1497,-0.019280769184884482
68,653405502751.3757,-0.019248008376212974
69,660814407203.6018,-0.01921504539075594
70,668223311655.828,-0.019181884578607988
71,675632216108.0541,-0.019148530149310394
72,683041120560.2803,-0.019114986177875982
73,690450025012.5063,-0.019081256610496446
74,697858929464.7324,-0.01904734526994243
75,705267833916.9585,-0.019013255860691438
76,712676738369.1847,-0.018978991973786004
77,720085642821.4108,-0.018944557091439836
78,727494547273.6368,-0.01890995459142302
79,734903451725.863,-0.01887518775122061
80,742312356178.0891,-0.0188402597519824
81,749721260630.3152,-0.018805173682287738
82,757130165082.5414,-0.01876993254172406
83,764539069534.7675,-0.01873453924428595
84,771947973986.9935,-0.018698996621626537
85,779356878439.2197,-0.018663307426152256
86,786765782891.4458,-0.01862747433395856
87,794174687343.6719,-0.018591499947649595
88,801583591795.8981,-0.018555386799017876
89,808992496248.1241,-0.018519137351605028
90,816401400700.3502,-0.01848275400314859
91,823810305152.5763,-0.018446239087915862
92,831219209604.8025,-0.018409594878940394
93,838628114057.0286,-0.018372823590156167
94,846037018509.2545,-0.018335927378440163
95,853445922961.4808,-0.018298908345568396
96,860854827413.7069,-0.01826176854008823
97,868263731865.933,-0.018224509959110347
98,875672636318.1593,-0.018187134550026914
99,883081540770.3853,-0.018149644212158235
100,890490445222.6113,-0.018112040798331168
101,897899349674.8375,-0.018074326116391846
102,905308254127.0636,-0.01803650193065897
103,912717158579.2897,-0.01799856996332075
104,920126063031.5159,-0.017960531895770522
105,927534967483.7421,-0.017922389369895073
106,934943871935.968,-0.017884143989303346
107,942352776388.1942,-0.01784579732052384
108,949761680840.4203,-0.017807350894142635
109,957170585292.6464,-0.017768806205893453
110,964579489744.8726,-0.01773016471772266
111,971988394197.0986,-0.017691427858806747
112,979397298649.3248,-0.01765259702651962
113,986806203101.5509,-0.01761367358738368
114,994215107553.777,-0.017574658877975713
115,1001624012006.003,-0.017535554205794564
116,1009032916458.2294,-0.017496360850112424
117,1016441820910.4553,-0.017457080062780576
118,1023850725362.6814,-0.01741771306901474
119,1031259629814.9076,-0.017378261068143885
120,1038668534267.1337,-0.01733872523434525
121,1046077438719.3597,-0.0172991067173464
122,1053486343171.5858,-0.017259406643100512
123,1060895247623.8121,-0.017219626114444088
124,1068304152076.0381,-0.017179766211722652
125,1075713056528.2642,-0.01713982799341047
126,1083121960980.4904,-0.017099812496697814
127,1090530865432.7164,-0.017059720738057296
128,1097939769884.9425,-0.01701955371379738
129,1105348674337.1687,-0.016979312400595435
130,1112757578789.395,-0.016938997756017968
131,1120166483241.6208,-0.01689861071900955
132,1127575387693.847,-0.016858152210381602
133,1134984292146.0732,-0.016817623133277906
134,1142393196598.2993,-0.016777024373627665
135,1149802101050.5254,-0.016736356800580776
136,1157211005502.7515,-0.016695621266928515
137,1164619909954.9775,-0.01665481860952177
138,1172028814407.2036,-0.01661394964966411
